Name,Authors,Publication Info,Year,URL
Deep learning and explainable AI in healthcare using EHR,"S Khedkar, P Gandhi, G Shinde…",Deep learning techniques … - Springer,2020,
Deep learning reproducibility and explainable AI (XAI),"AM Leventi-Peetz, T Östreich",arXiv preprint arXiv:2202.11452 - arxiv.org,2022,https://arxiv.org/pdf/2202.11452
"xxAI-beyond explainable AI: international workshop, held in conjunction with ICML 2020, July 18, 2020, Vienna, Austria, revised and extended papers",Unknown,Unknown,Unknown,
Explainable AI for glaucoma prediction analysis to understand risk factors in treatment planning,"MS Kamal, N Dey, L Chowdhury…",IEEE Transactions … - ieeexplore.ieee.org,2022,
The utility of explainable ai in ad hoc human-machine teaming,"R Paleja, M Ghuy…",Advances in neural … - proceedings.neurips.cc,2021,https://proceedings.neurips.cc/paper/2021/file/05d74c48b5b30514d8e9bd60320fc8f6-Paper.pdf
Explainable AI for clinical and remote health applications: a survey on tabular and time series data,"F Di Martino, F Delmastro",Artificial Intelligence Review - Springer,2023,https://link.springer.com/content/pdf/10.1007/s10462-022-10304-3.pdf
Explainable AI and mass surveillance system-based healthcare framework to combat COVID-I9 like pandemics,"MS Hossain, G Muhammad, N Guizani",IEEE network - ieeexplore.ieee.org,2020,https://www.researchgate.net/profile/M-Shamim-Hossain/publication/342799229_Explainable_AI_and_Mass_Surveillance_System-based_Healthcare_Framework_to_Combat_COVID-19_like_Pandemics/links/5f5b6df04585154dbbc89f09/Explainable-AI-and-Mass-Surveillance-System-based-Healthcare-Framework-to-Combat-COVID-19-like-Pandemics.pdf
A historical perspective of biomedical explainable AI research,"L Malinverno, V Barros, F Ghisoni, G Visonà, R Kern…",Patterns - cell.com,2023,https://www.cell.com/patterns/pdfExtended/S2666-3899(23)00199-X
Levels of explainable artificial intelligence for human-aligned conversational explanations,"R Dazeley, P Vamplew, C Foale, C Young, S Aryal…",Artificial Intelligence - Elsevier,2021,https://arxiv.org/pdf/2107.03178
Using explainable artificial intelligence to improve process quality: evidence from semiconductor manufacturing,"J Senoner, T Netland, S Feuerriegel",Management Science - pubsonline.informs.org,2022,https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.2021.4190
Explainable artificial intelligence for autonomous driving: A comprehensive overview and field guide for future research directions,"S Atakishiyev, M Salameh, H Yao, R Goebel",arXiv preprint arXiv … - arxiv.org,2021,https://arxiv.org/pdf/2112.11561
