Name,Authors,Publication Info,Year,URL
"Learning about Responsible AI On-The-Job: Learning Pathways, Orientations, and Aspirations","M Madaio, S Kapania, R Qadri, D Wang…",The 2024 ACM … - dl.acm.org,2024,https://dl.acm.org/doi/pdf/10.1145/3630106.3658988
Accelerating AI adoption with responsible AI signals and employee engagement mechanisms in health care,"W Wang, L Chen, M Xiong, Y Wang",Information Systems Frontiers - Springer,2023,https://link.springer.com/article/10.1007/s10796-021-10154-4
Towards responsible AI: a design space exploration of human-centered artificial intelligence user interfaces to investigate fairness,"Y Nakao, L Strappelli, S Stumpf, A Naseer…",… Journal of Human … - Taylor & Francis,2023,https://arxiv.org/pdf/2206.00474
"Responsible AI, SDGS, and AI governance in Africa","K Wakunuma, G Ogoh, DO Eke…",2022 IST-Africa … - ieeexplore.ieee.org,2022,https://www.researchgate.net/profile/Damian-Eke/publication/362712127_Responsible_AI_SDGs_and_AI_Governance_in_Africa/links/62fb6982e3c7de4c345f3ace/Responsible-AI-SDGs-and-AI-Governance-in-Africa.pdf
From ethics to standards–A path via responsible AI to cyber-physical production systems,"I Mezgár, J Váncza",Annual Reviews in Control - Elsevier,2022,https://www.sciencedirect.com/science/article/pii/S1367578822000177
Responsible Artificial Intelligence: A Structured Literature Review,"S Goellner, M Tropmann-Frick, B Brumen",arXiv preprint arXiv … - arxiv.org,2024,https://arxiv.org/pdf/2403.06910
"Responsible artificial intelligence as a secret ingredient for digital health: Bibliometric analysis, insights, and research directions","S Fosso Wamba, MM Queiroz",Information Systems Frontiers - Springer,2023,https://link.springer.com/article/10.1007/s10796-021-10142-8
How to Regulate Large Language Models for Responsible AI,J Berengueres,IEEE Transactions on Technology and Society - ieeexplore.ieee.org,2024,https://ieeexplore.ieee.org/iel7/8566059/9001030/10536000.pdf
Participatory AI: Reducing AI bias and developing socially responsible AI in smart cities,G Falco,… on Computational Science and Engineering (CSE) … - ieeexplore.ieee.org,2019,https://www.researchgate.net/profile/Gregory-Falco/publication/333916704_Participatory_AI_Reducing_AI_Bias_and_Developing_Socially_Responsible_AI_in_Smart_Cities/links/5d0c7115299bf1547c71673b/Participatory-AI-Reducing-AI-Bias-and-Developing-Socially-Responsible-AI-in-Smart-Cities.pdf
Resolving ethics trade-offs in implementing responsible AI,"C Sanderson, E Schleiger, D Douglas…",arXiv preprint arXiv … - arxiv.org,2024,https://arxiv.org/pdf/2401.08103
Establishing data provenance for responsible artificial intelligence systems,"K Werder, B Ramesh, R Zhang",ACM Transactions on Management … - dl.acm.org,2022,https://kups.ub.uni-koeln.de/53868/1/TMIS_manuscript_DataProvenance.pdf
Fair and Responsible AI: A focus on the ability to contest,"H Lyons, E Velloso, T Miller",arXiv preprint arXiv:2102.10787 - arxiv.org,2021,https://arxiv.org/pdf/2102.10787
